[2020-05-23T06:00:04.504+0000][364][safepoint    ] Application time: 0.0005765 seconds
[2020-05-23T06:00:04.504+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.504+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.504+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001837 seconds, Stopping threads took: 0.0001143 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Application time: 0.0001603 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000828 seconds, Stopping threads took: 0.0000308 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Application time: 0.0000487 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000834 seconds, Stopping threads took: 0.0000342 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Application time: 0.0000402 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001212 seconds, Stopping threads took: 0.0000493 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Application time: 0.0000623 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000731 seconds, Stopping threads took: 0.0000148 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Application time: 0.0000319 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001218 seconds, Stopping threads took: 0.0000543 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Application time: 0.0000349 seconds
[2020-05-23T06:00:04.505+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000924 seconds, Stopping threads took: 0.0000358 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000457 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000716 seconds, Stopping threads took: 0.0000287 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000405 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000707 seconds, Stopping threads took: 0.0000294 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000397 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000688 seconds, Stopping threads took: 0.0000209 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000486 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000578 seconds, Stopping threads took: 0.0000126 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000283 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000492 seconds, Stopping threads took: 0.0000115 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000274 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000473 seconds, Stopping threads took: 0.0000111 seconds
